Order Date,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Purchase Order Number,PO Line Number,Shipment Date,Shipping Address Zip,Order Status,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Buyer Name,Currency,Group Name
1/10/2021,Applegate Farms Herb Roasted Turkey Breast,POULTRY,B0787ZMJJS,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$5.00 ,1,,,1/11/2021,20906-2134,Shipped,$5.00 ,$0.00 ,$5.00 ,,,,PSF,USD,
1/10/2021,"Greens Chard Rainbow Organic, 1 Each",VEGETABLE,B07FZ72W63,53100000,Amazon.com,,new,Whole Foods Market,,$1.99 ,$2.49 ,2,,,1/11/2021,20906-2134,Shipped,$4.98 ,$0.00 ,$4.98 ,,,,PSF,USD,
1/10/2021,"Lime Regular Conventional, 1 Each",FRUIT,B07811WM8Z,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$0.50 ,3,,,1/11/2021,20906-2134,Shipped,$1.50 ,$0.00 ,$1.50 ,,,,PSF,USD,
1/10/2021,"Lettuce Green Leaf Organic, 1 Each",VEGETABLE,B078834HB1,53100000,Amazon.com,,new,Whole Foods Market,,$1.99 ,$1.99 ,2,,,1/11/2021,20906-2134,Shipped,$3.98 ,$0.00 ,$3.98 ,,,,PSF,USD,
1/10/2021,Pork Loin Chop Bone-In Canada Step 1,MEAT,B078TG5BLT,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$17.48 ,1,,,1/11/2021,20906-2134,Shipped,$17.48 ,$0.00 ,$17.48 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Chicken Breast Boneless Skinless Tray Pack Step 2",POULTRY,B0787TJRC2,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$12.48 ,1,,,1/11/2021,20906-2134,Shipped,$12.48 ,$0.00 ,$12.48 ,,,,PSF,USD,
1/10/2021,"Lets Do, Cones Ice Cream Waffle Gluten Free, 1.2 Ounce",DAIRY_BASED_ICE_CREAM,B01H4LDI4M,50000000,Amazon.com,,new,Whole Foods Market,,$3.79 ,$4.19 ,1,,,1/11/2021,20906-2134,Shipped,$4.19 ,$0.00 ,$4.19 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Eggs Brown Large Grade A, 12 Count",EGG,B074H739XR,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$3.29 ,1,,,1/11/2021,20906-2134,Shipped,$3.29 ,$0.00 ,$3.29 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Waffles Homestyle Famly Pack, 29.6 Ounce",FOOD,B074H6QTBR,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$4.99 ,1,,,1/11/2021,20906-2134,Shipped,$4.99 ,$0.00 ,$4.99 ,,,,PSF,USD,
1/10/2021,"Mandarins, 3 lbs",FRUIT,B01M2VFYCN,50000000,Amazon.com,,new,Whole Foods Market,,$5.99 ,$3.59 ,1,,,1/11/2021,20906-2134,Shipped,$3.59 ,$0.00 ,$3.59 ,,,,PSF,USD,
1/10/2021,Pork Sausage Link Italian Mild Step 1,MEAT,B07FZ1K4TJ,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$13.98 ,1,,,1/11/2021,20906-2134,Shipped,$13.98 ,$0.00 ,$13.98 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Milk Fat Free, 128 Fl Oz",DAIRY_BASED_DRINK,B074VDBRMM,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$3.79 ,1,,,1/11/2021,20906-2134,Shipped,$3.79 ,$0.00 ,$3.79 ,,,,PSF,USD,
1/10/2021,"Sunset Angel Sweet Cherry Tomatoes, 24 oz",VEGETABLE,B079VMH8W6,53100000,Amazon.com,,new,Whole Foods Market,,$5.99 ,$5.99 ,1,,,1/11/2021,20906-2134,Shipped,$5.99 ,$0.00 ,$5.99 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Value Pack Cod Fillet Wild Frozen MSC, 32 Ounce",FISH,B07NRC969Z,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$19.99 ,1,,,1/11/2021,20906-2134,Shipped,$19.99 ,$0.00 ,$19.99 ,,,,PSF,USD,
1/10/2021,"Banana Conventional, 1 Each",FRUIT,B0787Y5CZ4,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$1.14 ,1,,,1/11/2021,20906-2134,Shipped,$1.14 ,$0.00 ,$1.14 ,,,,PSF,USD,
1/10/2021,Organic Garnet Sweet Potatoes,VEGETABLE,B0787VSLKL,53100000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$5.77 ,1,,,1/11/2021,20906-2134,Shipped,$5.77 ,$0.00 ,$5.77 ,,,,PSF,USD,
1/10/2021,"Harrisburg Dairies, Half And Half, 32 Fl Oz",DAIRY_BASED_CREAM,B07J1DRT1J,50201700,Amazon.com,,new,Whole Foods Market,,$0.00 ,$2.79 ,1,,,1/11/2021,20906-2134,Shipped,$2.79 ,$0.00 ,$2.79 ,,,,PSF,USD,
1/10/2021,Annie's Homegrown Macaroni & Cheese - Shells & White Cheddar - 6 oz,FOOD,B003ZWPIF2,50190000,Amazon.com,,new,Whole Foods Market,,$1.59 ,$1.16 ,3,,,1/11/2021,20906-2134,Shipped,$3.48 ,$0.00 ,$3.48 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Chip Veggie, 6 Ounce",SNACK_CHIP_AND_CRISP,B074H54QQX,50192100,Amazon.com,,new,Whole Foods Market,,$2.29 ,$2.29 ,2,,,1/11/2021,20906-2134,Shipped,$4.58 ,$0.00 ,$4.58 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Florida Orange Juice, Not From Concentrate, 59 Fl Oz",JUICE_AND_JUICE_DRINK,B074J67WLY,50202300,Amazon.com,,new,Whole Foods Market,,$2.99 ,$3.29 ,1,,,1/11/2021,20906-2134,Shipped,$3.29 ,$0.00 ,$3.29 ,,,,PSF,USD,
1/10/2021,Chobani Vanilla Non-Fat Greek Yogurt 32oz,DAIRY_BASED_YOGURT,B00CJ8MJG4,50000000,Amazon.com,,new,Whole Foods Market,,$6.99 ,$5.49 ,1,,,1/11/2021,20906-2134,Shipped,$5.49 ,$0.00 ,$5.49 ,,,,PSF,USD,
1/10/2021,Organic D'Anjou Pear,FRUIT,B0787Z75D3,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$4.92 ,1,,,1/11/2021,20906-2134,Shipped,$4.92 ,$0.00 ,$4.92 ,,,,PSF,USD,
1/10/2021,"365 by Whole Foods Market, Bread Crumbs Italian Style, 15 Ounce",FOOD,B074H6VQML,50000000,Amazon.com,,new,Whole Foods Market,,$2.89 ,$1.59 ,2,,,1/11/2021,20906-2134,Shipped,$3.18 ,$0.00 ,$3.18 ,,,,PSF,USD,
1/10/2021,"Primal Kitchen Chipotle Lime Mayo made with Avocado Oil, Whole30 Approved, Certified Paleo, and Keto Certified, 12 Ounces",CONDIMENT,B01D213HL2,50000000,Amazon.com,,new,Whole Foods Market,,$10.99 ,$7.39 ,0,,,,20906-2134,,$0.00 ,$0.00 ,$0.00 ,,,,PSF,USD,
1/10/2021,"Lakewood, Organic Pure Cherry Tart Juice, 32 oz",JUICE_AND_JUICE_DRINK,B00EJXU9L4,50202300,Amazon.com,,new,Whole Foods Market,,$0.00 ,$6.74 ,1,,,1/11/2021,20906-2134,Shipped,$6.74 ,$0.00 ,$6.74 ,,,,PSF,USD,
1/10/2021,"Sunset, Cucumber Mini, 12 Ounce",VEGETABLE,B07BQJV4M3,50400000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$3.49 ,1,,,1/11/2021,20906-2134,Shipped,$3.49 ,$0.00 ,$3.49 ,,,,PSF,USD,
1/10/2021,Big Time Toys YoYo Ball (Styles Will Vary) Handheld Returnable Yo-Yo,YO_YO,B074MQB33M,60141000,Amazon.com,,new,Amazon.com,,$8.99 ,$4.00 ,2,,,1/12/2021,20906-2134,Shipped,$8.00 ,$0.48 ,$8.48 ,FALSE,,FALSE,PSF,USD,
1/13/2021,HEXBUG nano Nitro 5 Pack - Sensory Vibration Toys for Kids and Cats - Tiny HEX BUG Children’s Toy Technology with Batteries Included - Multicolor,TOY_FIGURE,B01BX4EMIC,60141000,Amazon.com,,new,HEXBUG®,,$19.99 ,$19.99 ,1,,,1/13/2021,20906-2134,Shipped,$19.99 ,$1.20 ,$21.19 ,FALSE,,FALSE,PSF,USD,
1/13/2021,Brain Games - Sticker by Letter: Robots (Sticker Puzzles - Kids Activity Book),ABIS_BOOK,1640307397,60141100,Amazon.com,2019-07-15T00:00:01,new,Amazon.com,,$8.98 ,$7.95 ,1,,,1/13/2021,20906-2134,Shipped,$7.95 ,$0.48 ,$8.43 ,FALSE,,FALSE,PSF,USD,
1/13/2021,Brain Games - Sticker by Letter: Playful Pets (Sticker Puzzles - Kids Activity Book),ABIS_BOOK,164030715X,55101500,Amazon.com,2019-05-15T00:00:01,new,Amazon.com,,$8.98 ,$7.95 ,1,,,1/13/2021,20906-2134,Shipped,$7.95 ,$0.48 ,$8.43 ,FALSE,,FALSE,PSF,USD,
1/13/2021,Big Time Toys YoYo Ball (Styles Will Vary) Handheld Returnable Yo-Yo,YO_YO,B074MQB33M,60141000,Amazon.com,,new,Wesen Enterprises,,$8.99 ,$9.99 ,1,,,1/13/2021,20906-2134,Shipped,$9.99 ,$0.60 ,$10.59 ,FALSE,,FALSE,PSF,USD,
1/13/2021,,,B08M8DGN8F,,Amazon.com,,new,Amazon.com,,$6.99 ,$6.99 ,1,,,1/16/2021,20906-2134,Shipped,$6.99 ,$0.42 ,$7.41 ,FALSE,,FALSE,PSF,USD,
1/13/2021,,,B087JZWNZX,,Amazon.com,,new,Amazon.com,,$18.99 ,$18.99 ,1,,,1/29/2021,20906-2134,Shipped,$18.99 ,$0.97 ,$19.96 ,FALSE,,FALSE,PSF,USD,
1/13/2021,"If You Care Sponge Cloths – 5 Count – 100% Natural Cleaning Rags for Kitchen, Bathroom, Home Countertop Surfaces – Absorbent, Reusable, Machine Washable, Compostable",UTILITY_SPONGE,B0078DQXQC,52120000,Amazon.com,,new,Amazon.com,,$5.43 ,$5.43 ,1,,,2/2/2021,20906-2134,Shipped,$5.43 ,$0.28 ,$5.71 ,FALSE,,FALSE,PSF,USD,
1/13/2021,Listerine Cool Mint Antiseptic Mouthwash to Kill 99% of Germs That Cause Bad Breath - Plaque and Gingivitis - Cool Mint Flavor - 1 L,MOUTHWASH,B001ECQ2S2,53131501,Amazon.com,,new,Amazon.com,,$4.84 ,$4.88 ,2,,,2/2/2021,20906-2134,Shipped,$9.76 ,$0.50 ,$10.26 ,FALSE,,FALSE,PSF,USD,
1/14/2021,"Dawn Ultra Dishwashing Liquid Dish Soap (4x19.4 Fl oz) + Non-Scratch Sponge (2 Count), Original Scent",CLEANING_AGENT,B07HKR2QP9,47131810,Amazon.com,,new,Amazon.com,,$14.56 ,$14.56 ,1,,,2/2/2021,20906-2134,Shipped,$14.56 ,$0.74 ,$15.30 ,FALSE,,FALSE,PSF,USD,
1/15/2021,Saucony Men's Multi-Pack Mesh Ventilating Comfort Fit Performance No-Show Socks,SOCKS,B01CUI7ES0,53102402,Amazon.com,,new,Amazon.com,,$13.99 ,$13.99 ,1,,,2/2/2021,20906-2134,Shipped,$13.99 ,$0.80 ,$14.79 ,FALSE,,FALSE,PSF,USD,
1/17/2021,"Artemis Fowl 3-book Paperback Boxed Set (Artemis Fowl, Books 1-3)",ABIS_BOOK,1368042368,55101500,Amazon.com,2018-10-02T00:00:01,new,-Bookworm-,,$26.97 ,$14.28 ,1,,,1/18/2021,20906-2134,Shipped,$14.28 ,$0.86 ,$15.14 ,FALSE,,FALSE,PSF,USD,
1/17/2021,LEGO Super Mario Whomp’s Lava Trouble Expansion Set 71364 Building Kit; Toy for Kids to Enhance Their Super Mario Adventures with Mario Starter Course (71360) (133 Pieces),TOY_BUILDING_BLOCK,B0858FSSTG,60141000,Amazon.com,,new,Amazon.com,,$19.99 ,$16.00 ,1,,,1/17/2021,20906-2134,Shipped,$16.00 ,$0.96 ,$16.96 ,FALSE,,FALSE,PSF,USD,
1/17/2021,"Number Robots Transforming Action Figure Toys for Montessori Teaching, School Classroom Rewards, Carnival Prizes, Preschool Educational STEM Math Toys for Kids Boys Girls (20 Pieces)",TOY_FIGURE,B07T6FPNYD,60141000,Amazon.com,,new,Lion Head,,$0.00 ,$38.99 ,1,,,1/18/2021,20906-2134,Shipped,$38.99 ,$2.20 ,$41.19 ,FALSE,,FALSE,PSF,USD,
1/17/2021,,,B07WVP9JS2,,Amazon.com,,new,ZITA ELEMENT,,$0.00 ,$38.99 ,1,,,1/18/2021,20906-2134,Shipped,$38.99 ,$2.34 ,$41.33 ,FALSE,,FALSE,PSF,USD,
1/17/2021,"ZENGVEE Men's Sweatpants with Zipper Pockets Open Bottom Athletic Pants for Jogging, Workout, Gym, Running, Training",PANTS,B07HK3GXZZ,53100000,Amazon.com,,new,ZENGVEE,,$0.00 ,$24.99 ,1,,,1/18/2021,20906-2134,Shipped,$24.99 ,$1.50 ,$26.49 ,FALSE,,FALSE,PSF,USD,
1/17/2021,(8-Pack) RinoGear Screen Protector for Samsung Galaxy Watch Active 2 (44mm) Case Friendly Accessories Flexible Full Coverage Clear TPU Film,SCREEN_PROTECTOR,B07Y5R1CBV,43191601,Amazon.com,,new,RinoGear,,$9.95 ,$6.95 ,1,,,1/18/2021,20906-2134,Shipped,$6.95 ,$0.42 ,$7.37 ,FALSE,,FALSE,PSF,USD,
1/17/2021,,,B08RRVSSXZ,,Amazon.com,,new,Seaplus Outdoor,,$13.99 ,$3.99 ,1,,,1/17/2021,20906-2134,Shipped,$3.99 ,$0.24 ,$4.23 ,FALSE,,FALSE,PSF,USD,
1/18/2021,Pork Loin Chop Bone-In Canada Step 1,MEAT,B078TG5BLT,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$16.57 ,1,,,1/18/2021,20906-2134,Shipped,$16.57 ,$0.00 ,$16.57 ,,,,PSF,USD,
1/18/2021,"365 by Whole Foods Market, Buns Hamburger White 8 Count Organic, 16 Ounce",BREAD,B07FW8TYT1,50181900,Amazon.com,,new,Whole Foods Market,,$0.00 ,$2.99 ,1,,,1/18/2021,20906-2134,Shipped,$2.99 ,$0.00 ,$2.99 ,,,,PSF,USD,
1/18/2021,"Kettle Brand Potato Chips, Jalapeno Kettle Chips, Sharing Size 13 Oz",SNACK_CHIP_AND_CRISP,B00NWJE9NK,50192100,Amazon.com,,new,Whole Foods Market,,$0.00 ,$4.99 ,1,,,1/18/2021,20906-2134,Shipped,$4.99 ,$0.00 ,$4.99 ,,,,PSF,USD,
1/18/2021,Beef Ground 80/20 Value Pack Step 1,MEAT,B07BF958Z7,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$8.98 ,1,,,1/18/2021,20906-2134,Shipped,$8.98 ,$0.00 ,$8.98 ,,,,PSF,USD,
1/18/2021,"Potato Russet Organic, 80 Ounce Bag",VEGETABLE,B07HKB534Y,53100000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$3.99 ,1,,,1/18/2021,20906-2134,Shipped,$3.99 ,$0.00 ,$3.99 ,,,,PSF,USD,
1/18/2021,"Middle East Bakery Inc, Bread Pita Whole Wheat Small Organic, 17 Ounce",BREAD,B0785WVP1K,50181900,Amazon.com,,new,Whole Foods Market,,$0.00 ,$3.19 ,1,,,1/18/2021,20906-2134,Shipped,$3.19 ,$0.00 ,$3.19 ,,,,PSF,USD,
1/18/2021,"Sunset Angel Sweet Cherry Tomatoes, 24 oz",VEGETABLE,B079VMH8W6,53100000,Amazon.com,,new,Whole Foods Market,,$5.99 ,$5.99 ,1,,,1/18/2021,20906-2134,Shipped,$5.99 ,$0.00 ,$5.99 ,,,,PSF,USD,
1/18/2021,"365 by Whole Foods Market, Garlic Hummus, 8 Ounce",FOOD,B07NSW5YQQ,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$2.69 ,0,,,,20906-2134,,$0.00 ,$0.00 ,$0.00 ,,,,PSF,USD,
1/18/2021,Beef Loin Top Sirloin Steak Step 1,MEAT,B078144LMV,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$31.07 ,1,,,1/18/2021,20906-2134,Shipped,$31.07 ,$0.00 ,$31.07 ,,,,PSF,USD,
1/18/2021,"365 by Whole Foods Market, Milk Fat Free, 128 Fl Oz",DAIRY_BASED_DRINK,B074VDBRMM,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$3.79 ,1,,,1/18/2021,20906-2134,Shipped,$3.79 ,$0.00 ,$3.79 ,,,,PSF,USD,
1/18/2021,Bell & Evans Chicken Drumsticks,POULTRY,B078F6N7J6,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$11.36 ,1,,,1/18/2021,20906-2134,Shipped,$11.36 ,$0.00 ,$11.36 ,,,,PSF,USD,
1/18/2021,"365 by Whole Foods Market, Organic Spring Salad Mix, 16 Ounce",VEGETABLE,B08R71FL5D,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$4.99 ,1,,,1/18/2021,20906-2134,Shipped,$4.99 ,$0.00 ,$4.99 ,,,,PSF,USD,
1/18/2021,"365 by Whole Foods Market, Pickles Slices Sandwhich Dill Kosher, 24 Fl Oz",PICKLE,B07FW76KWV,50000000,Amazon.com,,new,Whole Foods Market,,$4.99 ,$3.99 ,2,,,1/18/2021,20906-2134,Shipped,$7.98 ,$0.00 ,$7.98 ,,,,PSF,USD,
1/18/2021,Organic Butternut Squash,GROCERY,B0787Y4NBK,53100000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$9.55 ,1,,,1/18/2021,20906-2134,Shipped,$9.55 ,$0.00 ,$9.55 ,,,,PSF,USD,
1/18/2021,"Banana Conventional, 1 Each",FRUIT,B0787Y5D9C,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$1.13 ,1,,,1/18/2021,20906-2134,Shipped,$1.13 ,$0.00 ,$1.13 ,,,,PSF,USD,
1/18/2021,"365 by Whole Foods Market, Tuna Albacore In Water No Salt Added, 5 Ounce",FISH,B074H52BGS,50000000,Amazon.com,,new,Whole Foods Market,,$2.29 ,$2.29 ,3,,,1/18/2021,20906-2134,Shipped,$6.87 ,$0.00 ,$6.87 ,,,,PSF,USD,
1/18/2021,Applegate Farms Southwest Turkey Breast,POULTRY,B0787Y4Z3V,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$5.89 ,1,,,1/18/2021,20906-2134,Shipped,$5.89 ,$0.00 ,$5.89 ,,,,PSF,USD,
1/18/2021,"365 by Whole Foods Market, Chocolate Chips Baking Semi Sweet, 24 Ounce",BAKING_CHOCOLATE,B074H5Z5SV,50000000,Amazon.com,,new,Whole Foods Market,,$5.99 ,$3.79 ,2,,,1/18/2021,20906-2134,Shipped,$7.58 ,$0.00 ,$7.58 ,,,,PSF,USD,
1/18/2021,Organic Envy Apples,FRUIT,B07FZKSH9S,50000000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$4.83 ,1,,,1/18/2021,20906-2134,Shipped,$4.83 ,$0.00 ,$4.83 ,,,,PSF,USD,
1/18/2021,"Primal Kitchen Chipotle Lime Mayo made with Avocado Oil, Whole30 Approved, Certified Paleo, and Keto Certified, 12 Ounces",CONDIMENT,B01D213HL2,50000000,Amazon.com,,new,Whole Foods Market,,$10.99 ,$7.39 ,1,,,1/18/2021,20906-2134,Shipped,$7.39 ,$0.00 ,$7.39 ,,,,PSF,USD,
1/18/2021,"Stonyfield Organic Kids Cherry & Berry Lowfat Yogurt Tubes Variety Pack, 2 oz., 8 Ct - #1 Organic Kids Yogurt, Non-GMO, No Artificial Flavors or Sweeteners",DAIRY_BASED_YOGURT,B000QJDYSA,50000000,Amazon.com,,new,Whole Foods Market,,$4.89 ,$3.99 ,1,,,1/18/2021,20906-2134,Shipped,$3.99 ,$0.00 ,$3.99 ,,,,PSF,USD,
1/18/2021,"Sunset, Cucumber Mini, 12 Ounce",VEGETABLE,B07BQJV4M3,50400000,Amazon.com,,new,Whole Foods Market,,$0.00 ,$3.49 ,0,,,,20906-2134,,$0.00 ,$0.00 ,$0.00 ,,,,PSF,USD,
1/21/2021,"Schick Hydro Dry Skin Refills — Schick Razor Refills for Men, Men’s Razor Refills, 12 Count",RAZOR_BLADE_CARTRIDGE,B073JMC6BC,53131603,Amazon.com,,new,Amazon.com,,$29.99 ,$26.88 ,1,,,2/2/2021,20906-2134,Shipped,$26.88 ,$1.37 ,$28.25 ,FALSE,,FALSE,PSF,USD,
1/21/2021,"Polident Polident Partials Denture Cleanser, 40 Count",TOOTH_CLEANING_AGENT,B007JF8KFG,53131500,Amazon.com,,new,Amazon.com,,$7.00 ,$2.54 ,2,,,2/2/2021,20906-2134,Shipped,$5.08 ,$0.24 ,$5.32 ,FALSE,,FALSE,PSF,USD,
1/21/2021,"ORBIT Gum Freeze Mint Sugar Free Chewing Chewing Gum, 14 pieces, (12 Pack)",CHEWING_GUM,B07K3LLH8C,50161800,Amazon.com,,new,Amazon.com,,$0.00 ,$9.92 ,1,,,2/2/2021,20906-2134,Shipped,$9.92 ,$0.57 ,$10.49 ,FALSE,,FALSE,PSF,USD,
1/22/2021,"Neutrogena Healthy Skin Liquid Makeup Foundation, Broad Spectrum SPF 20 Sunscreen, Lightweight & Flawless Coverage Foundation with Antioxidant Vitamin E & Feverfew, 40 Nude, 1 fl. oz",SKIN_FOUNDATION_CONCEALER,B001MS7HGE,53131600,Amazon.com,,new,Amazon.com,,$13.99 ,$11.22 ,1,,,2/2/2021,20906-2134,Shipped,$11.22 ,$0.57 ,$11.79 ,FALSE,,FALSE,PSF,USD,
1/25/2021,"Super Mario Brothers Birthday Party Assorted Pencils Favours, Wood, 7"", Pack of 36",WRITING_INSTRUMENT,B07DK5R1W4,44121700,Amazon.com,,new,GIFT EXPRESS,,$0.00 ,$13.85 ,1,,,1/25/2021,20906-2134,Shipped,$13.85 ,$0.83 ,$14.68 ,FALSE,,FALSE,PSF,USD,
1/25/2021,"Hallmark Valentines Day Cards for Kids and Mailbox for Classroom Exchange, Super Mario Bros (1 Box, 32 Valentine Cards, 35 Stickers, 1 Teacher Card)",ENVELOPE,B08C3RQ2PX,44121505,Amazon.com,,new,Amazon.com,,$9.99 ,$9.99 ,1,,,1/25/2021,20906-2134,Shipped,$9.99 ,$0.60 ,$10.59 ,FALSE,,FALSE,PSF,USD,
1/26/2021,"L'Oreal Men Expert Hydra Energetic Facial Cleanser with Charcoal for Daily Face Washing, Mens Face Wash, Beard and Skincare for Men, 5 fl. Oz",SKIN_CLEANING_AGENT,B01648QH8U,53131613,Amazon.com,,new,Amazon.com,,$5.99 ,$6.79 ,1,,,2/2/2021,20906-2134,Shipped,$6.79 ,$0.35 ,$7.14 ,FALSE,,FALSE,PSF,USD,
1/26/2021,Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),ABIS_BOOK,1338680455,55101500,Amazon.com,2021-03-23T00:00:01,new,Amazon.com,,$12.99 ,$10.41 ,1,,,3/22/2021,20906-2134,Shipped,$10.41 ,$0.63 ,$11.04 ,FALSE,,FALSE,PSF,USD,
